data,Tipo de leito,Tipo de agravo,Número de leitos infantil ativos,Número de leitos infantil ocupados,Taxa de ocupação (%) de leitos infantil,Média móvel do número de crianças internadas,Média móvel do número de leitos para crianças ativos
2020-08-17,ENFERMARIA,COVID-19 + SRAG (NÃO COVID-19),195.0,56.0,28.72,57.0,195.1
2020-08-18,ENFERMARIA,COVID-19 + SRAG (NÃO COVID-19),195.0,55.0,28.21,55.7,194.6
2020-08-19,ENFERMARIA,COVID-19 + SRAG (NÃO COVID-19),193.0,52.0,26.94,54.7,194.1
2020-08-20,ENFERMARIA,COVID-19 + SRAG (NÃO COVID-19),193.0,58.0,30.05,53.9,193.1
2020-08-21,ENFERMARIA,COVID-19 + SRAG (NÃO COVID-19),197.0,59.0,29.95,54.3,192.7
2020-08-22,ENFERMARIA,COVID-19 + SRAG (NÃO COVID-19),178.0,54.0,30.34,55.0,191.9
2020-08-23,ENFERMARIA,COVID-19 + SRAG (NÃO COVID-19),189.0,54.0,28.57,55.4,191.4
2020-08-24,ENFERMARIA,COVID-19 + SRAG (NÃO COVID-19),193.0,57.0,29.53,55.6,191.1
2020-08-25,ENFERMARIA,COVID-19 + SRAG (NÃO COVID-19),198.0,65.0,32.83,57.0,191.6
2020-08-26,ENFERMARIA,COVID-19 + SRAG (NÃO COVID-19),194.0,56.0,28.87,57.6,191.7
2020-08-27,ENFERMARIA,COVID-19 + SRAG (NÃO COVID-19),186.0,63.0,33.87,58.3,190.7
2020-08-28,ENFERMARIA,COVID-19 + SRAG (NÃO COVID-19),198.0,70.0,35.35,59.9,190.9
2020-08-29,ENFERMARIA,COVID-19 + SRAG (NÃO COVID-19),179.0,68.0,37.99,61.9,191.0
2020-08-30,ENFERMARIA,COVID-19 + SRAG (NÃO COVID-19),179.0,69.0,38.55,64.0,189.6
2020-08-31,ENFERMARIA,COVID-19 + SRAG (NÃO COVID-19),197.0,73.0,37.06,66.3,190.1
2020-09-01,ENFERMARIA,COVID-19 + SRAG (NÃO COVID-19),193.0,74.0,38.34,67.6,189.4
2020-09-02,ENFERMARIA,COVID-19 + SRAG (NÃO COVID-19),197.0,64.0,32.49,68.7,189.9
2020-09-03,ENFERMARIA,COVID-19 + SRAG (NÃO COVID-19),196.0,66.0,33.67,69.1,191.3
2020-09-04,ENFERMARIA,COVID-19 + SRAG (NÃO COVID-19),199.0,67.0,33.67,68.7,191.4
2020-09-05,ENFERMARIA,COVID-19 + SRAG (NÃO COVID-19),192.0,60.0,31.25,67.6,193.3
2020-09-06,ENFERMARIA,COVID-19 + SRAG (NÃO COVID-19),182.0,45.0,24.73,64.1,193.7
2020-09-07,ENFERMARIA,COVID-19 + SRAG (NÃO COVID-19),184.0,50.0,27.17,60.9,191.9
2020-09-08,ENFERMARIA,COVID-19 + SRAG (NÃO COVID-19),197.0,58.0,29.44,58.6,192.4
2020-09-09,ENFERMARIA,COVID-19 + SRAG (NÃO COVID-19),197.0,66.0,33.5,58.9,192.4
2020-09-10,ENFERMARIA,COVID-19 + SRAG (NÃO COVID-19),200.0,73.0,36.5,59.9,193.0
2020-09-11,ENFERMARIA,COVID-19 + SRAG (NÃO COVID-19),198.0,61.0,30.81,59.0,192.9
2020-09-12,ENFERMARIA,COVID-19 + SRAG (NÃO COVID-19),192.0,59.0,30.73,58.9,192.9
2020-09-13,ENFERMARIA,COVID-19 + SRAG (NÃO COVID-19),189.0,61.0,32.28,61.1,193.9
2020-09-14,ENFERMARIA,COVID-19 + SRAG (NÃO COVID-19),199.0,52.0,26.13,61.4,196.0
2020-09-15,ENFERMARIA,COVID-19 + SRAG (NÃO COVID-19),204.0,62.0,30.39,62.0,197.0
2020-09-16,ENFERMARIA,COVID-19 + SRAG (NÃO COVID-19),202.0,67.0,33.17,62.1,197.7
2020-09-17,ENFERMARIA,COVID-19 + SRAG (NÃO COVID-19),194.0,66.0,34.02,61.1,196.9
2020-09-18,ENFERMARIA,COVID-19 + SRAG (NÃO COVID-19),179.0,68.0,37.99,62.1,194.1
2020-09-19,ENFERMARIA,COVID-19 + SRAG (NÃO COVID-19),191.0,49.0,25.65,60.7,194.0
2020-09-20,ENFERMARIA,COVID-19 + SRAG (NÃO COVID-19),185.0,57.0,30.81,60.1,193.4
2020-09-21,ENFERMARIA,COVID-19 + SRAG (NÃO COVID-19),202.0,64.0,31.68,61.9,193.9
2020-09-22,ENFERMARIA,COVID-19 + SRAG (NÃO COVID-19),199.0,57.0,28.64,61.1,193.1
2020-09-23,ENFERMARIA,COVID-19 + SRAG (NÃO COVID-19),201.0,57.0,28.36,59.7,193.0
2020-09-24,ENFERMARIA,COVID-19 + SRAG (NÃO COVID-19),199.0,54.0,27.14,58.0,193.7
2020-09-25,ENFERMARIA,COVID-19 + SRAG (NÃO COVID-19),204.0,69.0,33.82,58.1,197.3
2020-09-26,ENFERMARIA,COVID-19 + SRAG (NÃO COVID-19),190.0,72.0,37.89,61.4,197.1
2020-09-27,ENFERMARIA,COVID-19 + SRAG (NÃO COVID-19),194.0,70.0,36.08,63.3,198.4
2020-09-28,ENFERMARIA,COVID-19 + SRAG (NÃO COVID-19),190.0,73.0,38.42,64.6,196.7
2020-09-29,ENFERMARIA,COVID-19 + SRAG (NÃO COVID-19),187.0,67.0,35.83,66.0,195.0
2020-09-30,ENFERMARIA,COVID-19 + SRAG (NÃO COVID-19),203.0,63.0,31.03,66.9,195.3
2020-10-01,ENFERMARIA,COVID-19 + SRAG (NÃO COVID-19),207.0,59.0,28.5,67.6,196.4
2020-10-02,ENFERMARIA,COVID-19 + SRAG (NÃO COVID-19),208.0,67.0,32.21,67.3,197.0
2020-10-03,ENFERMARIA,COVID-19 + SRAG (NÃO COVID-19),184.0,75.0,40.76,67.7,196.1
2020-10-04,ENFERMARIA,COVID-19 + SRAG (NÃO COVID-19),186.0,79.0,42.47,69.0,195.0
2020-10-05,ENFERMARIA,COVID-19 + SRAG (NÃO COVID-19),207.0,70.0,33.82,68.6,197.4
2020-10-06,ENFERMARIA,COVID-19 + SRAG (NÃO COVID-19),195.0,67.0,34.36,68.6,198.6
2020-10-07,ENFERMARIA,COVID-19 + SRAG (NÃO COVID-19),188.0,71.0,37.77,69.7,196.4
2020-10-08,ENFERMARIA,COVID-19 + SRAG (NÃO COVID-19),201.0,72.0,35.82,71.6,195.6
2020-10-09,ENFERMARIA,COVID-19 + SRAG (NÃO COVID-19),196.0,72.0,36.73,72.3,193.9
2020-10-10,ENFERMARIA,COVID-19 + SRAG (NÃO COVID-19),174.0,66.0,37.93,71.0,192.4
2020-10-11,ENFERMARIA,COVID-19 + SRAG (NÃO COVID-19),160.0,68.0,42.5,69.4,188.7
2020-10-12,ENFERMARIA,COVID-19 + SRAG (NÃO COVID-19),178.0,68.0,38.2,69.1,184.6
2020-10-13,ENFERMARIA,COVID-19 + SRAG (NÃO COVID-19),199.0,68.0,34.17,69.3,185.1
2020-10-14,ENFERMARIA,COVID-19 + SRAG (NÃO COVID-19),179.0,75.0,41.9,69.9,183.9
2020-10-15,ENFERMARIA,COVID-19 + SRAG (NÃO COVID-19),196.0,63.0,32.14,68.6,183.1
2020-10-16,ENFERMARIA,COVID-19 + SRAG (NÃO COVID-19),200.0,52.0,26.0,65.7,183.7
2020-10-17,ENFERMARIA,COVID-19 + SRAG (NÃO COVID-19),162.0,52.0,32.1,63.7,182.0
2020-10-18,ENFERMARIA,COVID-19 + SRAG (NÃO COVID-19),178.0,58.0,32.58,62.3,184.6
2020-10-19,ENFERMARIA,COVID-19 + SRAG (NÃO COVID-19),183.0,59.0,32.24,61.0,185.3
2020-10-20,ENFERMARIA,COVID-19 + SRAG (NÃO COVID-19),196.0,57.0,29.08,59.4,184.9
2020-10-21,ENFERMARIA,COVID-19 + SRAG (NÃO COVID-19),196.0,63.0,32.14,57.7,187.3
2020-10-22,ENFERMARIA,COVID-19 + SRAG (NÃO COVID-19),180.0,65.0,36.11,58.0,185.0
2020-10-23,ENFERMARIA,COVID-19 + SRAG (NÃO COVID-19),174.0,63.0,36.21,59.6,181.3
2020-10-24,ENFERMARIA,COVID-19 + SRAG (NÃO COVID-19),185.0,67.0,36.22,61.7,184.6
2020-10-25,ENFERMARIA,COVID-19 + SRAG (NÃO COVID-19),184.0,77.0,41.85,64.4,185.4
2020-10-26,ENFERMARIA,COVID-19 + SRAG (NÃO COVID-19),190.0,87.0,45.79,68.4,186.4
2020-10-27,ENFERMARIA,COVID-19 + SRAG (NÃO COVID-19),193.0,86.0,44.56,72.6,186.0
2020-10-28,ENFERMARIA,COVID-19 + SRAG (NÃO COVID-19),190.0,86.0,45.26,75.9,185.1
2020-10-29,ENFERMARIA,COVID-19 + SRAG (NÃO COVID-19),193.0,86.0,44.56,78.9,187.0
2020-10-30,ENFERMARIA,COVID-19 + SRAG (NÃO COVID-19),189.0,95.0,50.26,83.4,189.1
2020-10-31,ENFERMARIA,COVID-19 + SRAG (NÃO COVID-19),186.0,85.0,45.7,86.0,189.3
2020-11-01,ENFERMARIA,COVID-19 + SRAG (NÃO COVID-19),177.0,79.0,44.63,86.3,188.3
2020-11-02,ENFERMARIA,COVID-19 + SRAG (NÃO COVID-19),182.0,79.0,43.41,85.1,187.1
2020-11-03,ENFERMARIA,COVID-19 + SRAG (NÃO COVID-19),194.0,75.0,38.66,83.6,187.3
2020-11-04,ENFERMARIA,COVID-19 + SRAG (NÃO COVID-19),168.0,71.0,42.26,81.4,184.1
2020-11-05,ENFERMARIA,COVID-19 + SRAG (NÃO COVID-19),196.0,66.0,33.67,78.6,184.6
2020-11-06,ENFERMARIA,COVID-19 + SRAG (NÃO COVID-19),188.0,62.0,32.98,73.9,184.4
2020-11-07,ENFERMARIA,COVID-19 + SRAG (NÃO COVID-19),181.0,65.0,35.91,71.0,183.7
2020-11-08,ENFERMARIA,COVID-19 + SRAG (NÃO COVID-19),184.0,66.0,35.87,69.1,184.7
2020-11-09,ENFERMARIA,COVID-19 + SRAG (NÃO COVID-19),198.0,72.0,36.36,68.1,187.0
2020-11-10,ENFERMARIA,COVID-19 + SRAG (NÃO COVID-19),197.0,70.0,35.53,67.4,187.4
2020-11-11,ENFERMARIA,COVID-19 + SRAG (NÃO COVID-19),179.0,69.0,38.55,67.1,189.0
2020-11-12,ENFERMARIA,COVID-19 + SRAG (NÃO COVID-19),180.0,69.0,38.33,67.6,186.7
2020-11-13,ENFERMARIA,COVID-19 + SRAG (NÃO COVID-19),196.0,70.0,35.71,68.7,187.9
2020-11-14,ENFERMARIA,COVID-19 + SRAG (NÃO COVID-19),168.0,64.0,38.1,68.6,186.0
2020-11-15,ENFERMARIA,COVID-19 + SRAG (NÃO COVID-19),170.0,55.0,32.35,67.0,184.0
2020-11-16,ENFERMARIA,COVID-19 + SRAG (NÃO COVID-19),190.0,69.0,36.32,66.6,182.9
2020-11-17,ENFERMARIA,COVID-19 + SRAG (NÃO COVID-19),185.0,61.0,32.97,65.3,181.1
2020-11-18,ENFERMARIA,COVID-19 + SRAG (NÃO COVID-19),193.0,57.0,29.53,63.6,183.1
2020-11-19,ENFERMARIA,COVID-19 + SRAG (NÃO COVID-19),176.0,58.0,32.95,62.0,182.6
2020-11-20,ENFERMARIA,COVID-19 + SRAG (NÃO COVID-19),156.0,55.0,35.26,59.9,176.9
2020-11-21,ENFERMARIA,COVID-19 + SRAG (NÃO COVID-19),168.0,57.0,33.93,58.9,176.9
2020-11-22,ENFERMARIA,COVID-19 + SRAG (NÃO COVID-19),169.0,59.0,34.91,59.4,176.7
2020-11-23,ENFERMARIA,COVID-19 + SRAG (NÃO COVID-19),161.0,57.0,35.4,57.7,172.6
2020-11-24,ENFERMARIA,COVID-19 + SRAG (NÃO COVID-19),192.0,54.0,28.12,56.7,173.6
2020-11-25,ENFERMARIA,COVID-19 + SRAG (NÃO COVID-19),175.0,62.0,35.43,57.4,171.0
2020-11-26,ENFERMARIA,COVID-19 + SRAG (NÃO COVID-19),181.0,63.0,34.81,58.1,171.7
2020-11-27,ENFERMARIA,COVID-19 + SRAG (NÃO COVID-19),183.0,61.0,33.33,59.0,175.6
2020-11-28,ENFERMARIA,COVID-19 + SRAG (NÃO COVID-19),189.0,63.0,33.33,59.9,178.6
2020-11-29,ENFERMARIA,COVID-19 + SRAG (NÃO COVID-19),169.0,57.0,33.73,59.6,178.6
2020-11-30,ENFERMARIA,COVID-19 + SRAG (NÃO COVID-19),198.0,68.0,34.34,61.1,183.9
2020-12-01,ENFERMARIA,COVID-19 + SRAG (NÃO COVID-19),196.0,66.0,33.67,62.9,184.4
2020-12-02,ENFERMARIA,COVID-19 + SRAG (NÃO COVID-19),194.0,66.0,34.02,63.4,187.1
2020-12-03,ENFERMARIA,COVID-19 + SRAG (NÃO COVID-19),174.0,70.0,40.23,64.4,186.1
2020-12-04,ENFERMARIA,COVID-19 + SRAG (NÃO COVID-19),198.0,72.0,36.36,66.0,188.3
2020-12-05,ENFERMARIA,COVID-19 + SRAG (NÃO COVID-19),188.0,84.0,44.68,69.0,188.1
2020-12-06,ENFERMARIA,COVID-19 + SRAG (NÃO COVID-19),186.0,90.0,48.39,73.7,190.6
2020-12-07,ENFERMARIA,COVID-19 + SRAG (NÃO COVID-19),194.0,88.0,45.36,76.6,190.0
2020-12-08,ENFERMARIA,COVID-19 + SRAG (NÃO COVID-19),195.0,88.0,45.13,79.7,189.9
2020-12-09,ENFERMARIA,COVID-19 + SRAG (NÃO COVID-19),192.0,89.0,46.35,83.0,189.6
2020-12-10,ENFERMARIA,COVID-19 + SRAG (NÃO COVID-19),191.0,87.0,45.55,85.4,192.0
2020-12-11,ENFERMARIA,COVID-19 + SRAG (NÃO COVID-19),200.0,84.0,42.0,87.1,192.3
2020-12-12,ENFERMARIA,COVID-19 + SRAG (NÃO COVID-19),186.0,81.0,43.55,86.7,192.0
2020-12-13,ENFERMARIA,COVID-19 + SRAG (NÃO COVID-19),171.0,77.0,45.03,84.9,189.9
2020-12-14,ENFERMARIA,COVID-19 + SRAG (NÃO COVID-19),177.0,82.0,46.33,84.0,187.4
2020-12-15,ENFERMARIA,COVID-19 + SRAG (NÃO COVID-19),186.0,83.0,44.62,83.3,186.1
2020-12-16,ENFERMARIA,COVID-19 + SRAG (NÃO COVID-19),191.0,74.0,38.74,81.1,186.0
2020-12-17,ENFERMARIA,COVID-19 + SRAG (NÃO COVID-19),177.0,70.0,39.55,78.7,184.0
2020-12-18,ENFERMARIA,COVID-19 + SRAG (NÃO COVID-19),198.0,76.0,38.38,77.6,183.7
2020-12-19,ENFERMARIA,COVID-19 + SRAG (NÃO COVID-19),193.0,67.0,34.72,75.6,184.7
2020-12-20,ENFERMARIA,COVID-19 + SRAG (NÃO COVID-19),175.0,68.0,38.86,74.3,185.3
2020-12-21,ENFERMARIA,COVID-19 + SRAG (NÃO COVID-19),192.0,70.0,36.46,72.6,187.4
